"File","Lines"
"src/backend/src\observability\logger.ts","45"
"src/backend/src\reports\report.routes.ts","44"
"src/backend/src\availability\availability.types.ts","44"
"src/backend/src\alerts\alert.controller.ts","43"
"src/backend/src\spare-parts\compatibility.controller.ts","43"
"src/backend/src\observability\readiness.ts","42"
"src/frontend/src\features\alertas\alert.api.ts","39"
"src/backend/src\alerts\alert.schemas.ts","38"
"src/backend/src\auth\auth.controller.ts","38"
"src/frontend/src\features\auth\ProtectedRoute.tsx","38"
"src/frontend/src\features\auth\session.context.ts","35"
"src/backend/src\server-lifecycle.ts","35"
"src/backend/src\preventive\preventive-evaluation.service.ts","34"
"src/backend/src\server.ts","33"
"src/backend/src\audit\audit.middleware.ts","31"
"src/backend/src\observability\request-context.middleware.ts","30"
"src/backend/src\security\rate-limit.middleware.ts","30"
"src/backend/src\preventive\preventive-plan.types.ts","29"
"src/backend/src\spare-parts\compatibility.schemas.ts","27"
"src/backend/src\alerts\alert-evaluation.service.ts","27"
"src/backend/src\spare-parts\spare-part.availability.ts","26"
"src/backend/src\fleet\fleet-catalog.types.ts","26"
"src/frontend/src\components\ui\StatCard.tsx","25"
"src/backend/src\auth\auth.cookies.ts","25"
"src/backend/src\auth\auth.types.ts","24"
"src/backend/src\audit\audit.repository.ts","23"
"src/backend/src\alerts\alert.routes.ts","23"
"src/frontend/src\components\ui\Badge.tsx","22"
"src/backend/src\auth\auth.routes.ts","21"
"src/frontend/src\features\modules\PendingModulePage.tsx","20"
"src/frontend/src\lib\format.ts","15"
"src/backend/src\spare-parts\compatibility.types.ts","14"
"src/frontend/src\features\auth\AccessDeniedPage.tsx","13"
"src/backend/src\types\express.d.ts","12"
"src/backend/src\mileage\mileage-lock.ts","11"
"src/frontend/src\main.tsx","10"
"src/backend/src\auth\auth.schemas.ts","8"
